,cell1_cu_watts,cell1_du_watts,cell1_ru_watts,cell1_cu_joules,cell1_du_joules,cell1_ru_joules,cell1_total_watts,cell1_total_joules,cell2_cu_watts,cell2_du_watts,cell2_ru_watts,cell2_cu_joules,cell2_du_joules,cell2_ru_joules,cell2_total_watts,cell2_total_joules
2025-09-29 15:15:55,0.0740396294457376,11.476142564094378,50.9,27568.083568,138653.351114,3068.0,62.450182193540115,169289.434682,0.0740396294457376,11.179984046304693,51.0,27568.083568,148893.66190900002,3051.0,62.25402367575043,179512.74547700002
2025-09-29 15:16:00,0.094120465740323,11.24739565597609,51.2,27568.398560999998,138709.30562899998,3324.0,62.54151612171641,169601.70419,0.094120465740323,11.765058217551076,50.9,27568.398560999998,148950.933852,3305.5,62.759178683291395,179824.832413
2025-09-29 15:16:05,0.04786875210285228,12.015056777836602,51.2,27568.680947,138781.087674,3580.0,63.26292552993946,169929.768621,0.04786875210285228,11.632106761005078,50.9,27568.680947,149020.74268,3560.0,62.579975513107925,180149.423627
2025-09-29 15:16:10,0.11151710429049448,13.103259754136902,51.2,27569.101802,138846.959662,3836.0,64.4147768584274,170252.061464,0.11151710429049448,12.824466993414473,50.9,27569.101802,149083.62538699998,3814.5,63.835984097704966,180467.22718899997
2025-09-29 15:16:15,0.061998725215154794,11.65576034046602,51.2,27569.419864,138909.47319000002,4092.0,62.91775906568118,170570.89305400001,0.061998725215154794,11.903755241332277,50.7,27569.419864,149145.483172,4068.0,62.665753966547435,180782.903036
2025-09-29 15:16:20,0.09081229939964214,13.803469508762124,51.2,27570.016390999997,138973.463495,4348.0,65.09428180816177,170891.479886,0.09081229939964214,12.713721915941639,50.9,27570.016390999997,149209.633309,4322.5,63.70453421534128,181102.1497
2025-09-29 15:16:25,0.09763879833105975,12.546585585515507,51.2,27570.335307,139032.764334,4604.0,63.844224383846566,171207.099641,0.09763879833105975,11.619017001378628,51.0,27570.335307,149267.335543,4577.5,62.716655799709685,181415.17085
2025-09-29 15:16:30,0.09332502267995396,11.338990255593847,51.2,27570.645224,139096.800621,4860.0,62.63231527827381,171527.445845,0.09332502267995396,11.478977789608079,51.0,27570.645224,149332.08839699998,4832.5,62.57230281228803,181735.233621
2025-09-29 15:16:35,0.054373891766361676,11.79913451323465,51.2,27570.976023,139162.969753,5116.0,63.05350840500101,171849.945776,0.054373891766361676,12.397247322664938,50.7,27570.976023,149399.78783000002,5086.0,63.1516212144313,182056.763853
2025-09-29 15:16:40,0.06533225152351732,11.433144016560941,51.0,27571.285276,139224.882482,5371.0,62.49847626808446,172167.167758,0.06533225152351732,11.759805274195983,50.7,27571.285276,149461.32619499997,5339.5,62.5251375257195,182372.11147099998
