,dram,package
2025-09-22 10:30:00,0.4688681483912125,12.280694898666713
2025-09-22 10:30:05,0.42161564550576003,11.102695006882497
2025-09-22 10:30:10,0.5358682150054576,14.07261357944178
2025-09-22 10:30:15,0.5324373099107337,14.074907190002342
2025-09-22 10:30:20,0.5620197290187682,14.998485183396795
2025-09-22 10:30:25,0.5149542573072106,13.499304620648687
2025-09-22 10:30:30,0.40025182630123995,10.50190552612752
2025-09-22 10:30:35,0.5267645623417337,14.392996566751172
2025-09-22 10:30:40,0.500980856271469,13.26254918691515
2025-09-22 10:30:45,0.5584349000822489,15.20627234218294
2025-09-22 10:30:50,0.5150096938512783,13.896394704926093
2025-09-22 10:30:55,0.5193329178447313,13.787877488858847
2025-09-22 10:31:00,0.4557256504011315,12.289217301825158
2025-09-22 10:31:05,0.47098696867910056,13.425774050846567
2025-09-22 10:31:10,0.48075234684770685,13.330168537193698
2025-09-22 10:31:15,0.43931069203696727,12.158713399710306
2025-09-22 10:31:20,0.49463004160795304,13.637782538856975
2025-09-22 10:31:25,0.44613048061862365,12.154486520429513
2025-09-22 10:31:30,0.39833758372013955,11.187398470178065
2025-09-22 10:31:35,0.48428776549204905,13.489549164422295
2025-09-22 10:31:40,0.4866469726873536,13.075431777744486
2025-09-22 10:31:45,0.47998918353638287,12.989659773436538
2025-09-22 10:31:50,0.47951564353823845,13.132193616821462
2025-09-22 10:31:55,0.40509771256134064,10.63550337832128
2025-09-22 10:32:00,0.3448692991000934,9.468218570805785
2025-09-22 10:32:05,0.47811614909238914,13.296569842116257
2025-09-22 10:32:10,0.5478616324732426,14.911312218182161
2025-09-22 10:32:15,0.46593276367390996,12.942220094986912
2025-09-22 10:32:20,0.5705026381842461,16.078337617450313
2025-09-22 10:32:25,0.4729301363490853,12.786452590054205
2025-09-22 10:32:30,0.3797354876525668,10.805868591810183
2025-09-22 10:32:35,0.5149596197705985,14.214972638507302
2025-09-22 10:32:40,0.49271568037519936,13.881909824761314
2025-09-22 10:32:45,0.44148869355303,12.54783782070172
2025-09-22 10:32:50,0.5002144743548624,14.411246731280855
2025-09-22 10:32:55,0.4457393263137785,12.618616592617236
2025-09-22 10:33:00,0.3766932794418024,11.015549068684901
2025-09-22 10:33:05,0.4624075538802931,13.21846096877287
2025-09-22 10:33:10,0.46439059624278695,13.377485277938701
2025-09-22 10:33:15,0.4935382831481271,13.779668222960662
2025-09-22 10:33:20,0.5007023278837847,14.477564765888486
2025-09-22 10:33:25,0.46067838315972987,13.092562276360477
2025-09-22 10:33:30,0.4254351088870023,12.206332771752091
2025-09-22 10:33:35,0.4430070078598862,12.962454066646078
2025-09-22 10:33:40,0.4676542660615299,13.437189061109331
2025-09-22 10:33:45,0.4910405110874207,14.389554225023671
2025-09-22 10:33:50,0.4758215856040185,13.75064188193124
2025-09-22 10:33:55,0.4816429876353417,13.752789110658247
2025-09-22 10:34:00,0.37825395930298467,11.129661106872964
2025-09-22 10:34:05,0.46678793323921347,13.36058123575924
2025-09-22 10:34:10,0.5070968971042075,14.653223121812978
2025-09-22 10:34:15,0.48084688455104724,13.979807983055695
2025-09-22 10:34:20,0.5202663924744592,14.982192920673263
2025-09-22 10:34:25,0.44258125780146473,12.628313248393566
2025-09-22 10:34:30,0.42904420642236774,11.841446292110868
2025-09-22 10:34:35,0.4480817225635672,12.670549113064222
2025-09-22 10:34:40,0.47210625220410085,13.438474008727853
2025-09-22 10:34:45,0.5110376837728475,14.864239194615367
2025-09-22 10:34:50,0.48810906865432374,14.15196482147608
2025-09-22 10:34:55,0.45836152963905225,12.395409003699982
2025-09-22 10:35:00,0.34468839489611963,9.74862105801429
2025-09-22 10:35:05,0.5687198952918837,15.627194615515686
2025-09-22 10:35:10,0.5446195032571468,15.436962929472141
2025-09-22 10:35:15,0.5707895595916229,15.803905387476098
2025-09-22 10:35:20,0.6026675051046585,16.425489448965344
2025-09-22 10:35:25,0.5438118432199491,14.680832196487401
2025-09-22 10:35:30,0.37965851516386323,10.544918104202326
2025-09-22 10:35:35,0.4705099559609207,12.918878050959794
2025-09-22 10:35:40,0.5271723712160422,14.60962798581298
2025-09-22 10:35:45,0.4631871269406499,12.630572794334174
2025-09-22 10:35:50,0.516146642814227,14.361253823259124
2025-09-22 10:35:55,0.4518323598579728,12.6444050799142
2025-09-22 10:36:00,0.4441558247909139,12.380594808356536
2025-09-22 10:36:05,0.40930737581455184,11.384498927721076
2025-09-22 10:36:10,0.48202087557818857,13.808944900309449
2025-09-22 10:36:15,0.498926285141474,14.608185557732533
2025-09-22 10:36:20,0.46530495531958843,13.13909338907752
2025-09-22 10:36:25,0.45829562298366616,12.849682313025342
2025-09-22 10:36:30,0.39111577130895764,11.16442406523167
2025-09-22 10:36:35,0.417854892272144,11.803361656105253
2025-09-22 10:36:40,0.4763074540340837,13.644999438541689
2025-09-22 10:36:45,0.527204613532101,15.448740828157943
2025-09-22 10:36:50,0.5279197277508249,14.923605629854666
2025-09-22 10:36:55,0.47041398668605805,13.215868928064932
2025-09-22 10:37:00,0.4228070872559699,12.237533472185
2025-09-22 10:37:05,0.46643017251110525,13.56072287440281
2025-09-22 10:37:10,0.45847990203371425,13.024861334717976
2025-09-22 10:37:15,0.4968374971089403,14.486106993224276
2025-09-22 10:37:20,0.47719992242684717,13.743130761261611
2025-09-22 10:37:25,0.49350618733505563,14.07677466407858
2025-09-22 10:37:30,0.38137464015380856,10.915538371271214
2025-09-22 10:37:35,0.5320113959370985,15.057740756970322
2025-09-22 10:37:40,0.4803705646247733,13.750431598236164
