,cu_watts,du_watts,ru_watts,cu_joules,du_joules,ru_joules,total_watts,total_joules
2025-09-29 09:00:25,0.06332388005521164,,50.6,26075.498282,,36238.5,50.663323880055216,62313.998282
2025-09-29 09:00:30,0.0,,50.5,26075.894758,,36491.0,50.5,62566.894757999995
2025-09-29 09:00:35,0.05282001490040501,,50.5,26076.237927000002,,36743.5,50.552820014900405,62819.737927
2025-09-29 09:00:40,0.10382128301209294,,50.6,26076.786108,,36996.5,50.7038212830121,63073.286108
2025-09-29 09:00:45,0.049375920041468305,,50.6,26077.054646,,37249.5,50.64937592004147,63326.554646000004
2025-09-29 09:00:50,0.13202588378409405,,50.5,26077.423646,,37502.0,50.632025883784095,63579.423645999996
2025-09-29 09:00:55,0.07105533213652593,,50.6,26077.778746,,37755.0,50.671055332136525,63832.778745999996
2025-09-29 09:01:00,0.03835975588773541,,50.6,26078.087338999998,,38008.0,50.638359755887734,64086.087339
2025-09-29 09:01:05,0.09678965418977295,,50.6,26078.40841,,38261.0,50.69678965418977,64339.408410000004
2025-09-29 09:01:10,0.15699438725858111,,50.6,26078.869624,,38514.0,50.75699438725858,64592.869624
2025-09-29 09:01:15,0.05680743443625293,,50.6,26079.180967,,38767.0,50.65680743443625,64846.180967
2025-09-29 09:01:20,0.0830054466216453,,50.7,26079.495398000003,,39020.5,50.78300544662165,65099.995398
2025-09-29 09:01:25,0.05179324045480486,,50.6,26079.845217000002,,39273.5,50.65179324045481,65353.345217
2025-09-29 09:01:30,0.04565527982629167,,50.5,26080.249304,,39526.0,50.54565527982629,65606.249304
2025-09-29 09:01:35,0.04809901757788369,,50.6,26080.618843,,39779.0,50.648099017577884,65859.618843
2025-09-29 09:01:40,0.06296708792186362,,50.7,26081.091196,,40032.5,50.762967087921865,66113.591196
2025-09-29 09:01:45,0.07490584945886798,,50.6,26081.401914000002,,40285.5,50.67490584945887,66366.901914
2025-09-29 09:01:50,0.048289426759076035,,50.6,26081.669127,,40538.5,50.64828942675908,66620.169127
2025-09-29 09:01:55,0.13787302530236217,,50.6,26082.220946999998,,40791.5,50.73787302530236,66873.720947
2025-09-29 09:02:00,0.08775673071033276,,50.6,26082.565058,,41044.5,50.68775673071033,67127.06505800001
2025-09-29 09:02:05,0.06487943517147898,,50.6,26083.229926,,41297.5,50.66487943517148,67380.729926
2025-09-29 09:02:10,0.09122773606885413,,50.6,26083.57118,,41550.5,50.69122773606885,67634.07118
2025-09-29 09:02:15,0.04207365598207363,,50.7,26083.861697,,41804.0,50.742073655982075,67887.861697
2025-09-29 09:02:20,0.061373201582639536,,50.6,26084.154105999998,,42057.0,50.66137320158264,68141.154106
2025-09-29 09:02:25,0.06777954707401779,,50.6,26084.477454,,42310.0,50.66777954707402,68394.477454
2025-09-29 09:02:30,0.07401662070902655,,50.6,26084.803619,,42563.0,50.674016620709025,68647.803619
2025-09-29 09:02:35,0.046858847604507085,,50.6,26085.097829,,42816.0,50.646858847604506,68901.097829
2025-09-29 09:02:40,0.04588647885307524,,50.6,26085.475413999997,,43069.0,50.64588647885308,69154.475414
2025-09-29 09:02:45,0.09315911154790049,,50.6,26085.788112,,43322.0,50.6931591115479,69407.788112
2025-09-29 09:02:50,0.0,,50.6,26086.059502,,43575.0,50.6,69661.059502
2025-09-29 09:02:55,0.0688505184484807,,50.6,26086.329118,,43828.0,50.66885051844848,69914.329118
2025-09-29 09:03:00,0.037194063030073145,,50.6,26086.593577,,44081.0,50.63719406303007,70167.59357699999
2025-09-29 09:03:05,0.04594544563912436,,50.6,26086.927963000002,,44334.0,50.64594544563913,70420.927963
2025-09-29 09:03:10,0.11399654074515185,,50.6,26087.258646000002,,44587.0,50.71399654074515,70674.258646
2025-09-29 09:03:15,0.0,,50.6,26087.598525,,44840.0,50.6,70927.59852500001
2025-09-29 09:03:20,0.10090001475441324,,50.6,26088.004634,,45093.0,50.70090001475442,71181.004634
2025-09-29 09:03:25,0.09488582118062616,,50.6,26088.388602,,45346.0,50.69488582118063,71434.38860199999
